112 41
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 1
33 0 2
34 0 2
35 0 2
36 0 2
37 0 2
38 0 2
39 0 2
40 0 2
41 0 1
42 0 1
43 0 1
44 0 1
45 0 1
46 0 5
47 0 5
48 0 5
49 0 5
50 0 5
51 0 1
52 0 1
53 0 1
54 0 1
55 0 7
56 0 7
57 0 7
58 0 7
59 0 7
60 0 7
61 0 1
62 0 1
63 0 7
64 0 7
65 0 7
66 0 7
67 0 7
68 0 7
69 0 1
70 0 6
71 0 6
72 0 6
73 0 6
74 0 6
75 0 6
76 0 6
77 0 6
78 0 1
79 0 1
80 0 1
81 0 1
82 0 1
83 0 1
84 0 1
85 0 1
86 0 1
87 0 1
88 0 1
89 0 1
90 0 1
91 0 1
92 0 1
93 0 1
94 0 1
95 0 1
96 0 1
97 0 1
98 0 1
99 0 1
100 0 1
101 0 1
102 0 1
103 0 1
104 0 1
105 0 1
106 0 1
107 0 1
108 0 1
109 0 1
110 0 1
111 0 1
0 1 1
1 1 1
2 1 1
3 1 1
4 1 1
5 1 1
6 1 1
7 1 1
8 1 1
9 1 1
10 1 1
11 1 1
12 1 1
13 1 1
14 1 1
15 1 1
16 1 1
17 1 1
18 1 1
19 1 1
20 1 1
21 1 1
22 1 1
23 1 1
24 1 1
25 1 1
26 1 1
27 1 1
28 1 1
29 1 1
30 1 1
31 1 1
32 1 2
33 1 2
34 1 2
35 1 2
36 1 2
37 1 2
38 1 2
39 1 2
40 1 2
41 1 2
42 1 1
43 1 1
44 1 1
45 1 5
46 1 5
47 1 5
48 1 5
49 1 5
50 1 5
51 1 5
52 1 1
53 1 1
54 1 1
55 1 7
56 1 7
57 1 7
58 1 7
59 1 7
60 1 7
61 1 1
62 1 1
63 1 7
64 1 7
65 1 7
66 1 7
67 1 7
68 1 7
69 1 1
70 1 6
71 1 6
72 1 6
73 1 6
74 1 6
75 1 6
76 1 6
77 1 6
78 1 1
79 1 1
80 1 1
81 1 1
82 1 1
83 1 1
84 1 1
85 1 1
86 1 1
87 1 1
88 1 1
89 1 1
90 1 1
91 1 1
92 1 1
93 1 1
94 1 1
95 1 1
96 1 1
97 1 1
98 1 1
99 1 1
100 1 1
101 1 1
102 1 1
103 1 1
104 1 1
105 1 1
106 1 1
107 1 1
108 1 1
109 1 1
110 1 1
111 1 1
0 2 1
1 2 1
2 2 1
3 2 1
4 2 1
5 2 1
6 2 1
7 2 1
8 2 1
9 2 1
10 2 1
11 2 1
12 2 1
13 2 1
14 2 1
15 2 1
16 2 1
17 2 1
18 2 1
19 2 1
20 2 1
21 2 1
22 2 1
23 2 1
24 2 1
25 2 1
26 2 1
27 2 1
28 2 1
29 2 1
30 2 1
31 2 1
32 2 2
33 2 2
34 2 2
35 2 2
36 2 1
37 2 1
38 2 2
39 2 2
40 2 2
41 2 2
42 2 1
43 2 1
44 2 1
45 2 5
46 2 5
47 2 5
48 2 5
49 2 5
50 2 5
51 2 5
52 2 1
53 2 1
54 2 1
55 2 7
56 2 7
57 2 7
58 2 7
59 2 7
60 2 7
61 2 1
62 2 1
63 2 7
64 2 7
65 2 7
66 2 7
67 2 7
68 2 7
69 2 1
70 2 6
71 2 6
72 2 6
73 2 6
74 2 1
75 2 1
76 2 1
77 2 1
78 2 1
79 2 1
80 2 1
81 2 1
82 2 1
83 2 1
84 2 1
85 2 1
86 2 1
87 2 1
88 2 1
89 2 1
90 2 1
91 2 1
92 2 1
93 2 1
94 2 1
95 2 1
96 2 1
97 2 1
98 2 1
99 2 1
100 2 1
101 2 1
102 2 1
103 2 1
104 2 1
105 2 1
106 2 1
107 2 1
108 2 1
109 2 1
110 2 1
111 2 1
0 3 1
1 3 1
2 3 1
3 3 1
4 3 1
5 3 1
6 3 1
7 3 1
8 3 1
9 3 1
10 3 1
11 3 1
12 3 1
13 3 1
14 3 1
15 3 1
16 3 1
17 3 1
18 3 1
19 3 1
20 3 1
21 3 1
22 3 1
23 3 1
24 3 1
25 3 1
26 3 1
27 3 1
28 3 1
29 3 1
30 3 1
31 3 1
32 3 2
33 3 2
34 3 2
35 3 2
36 3 1
37 3 1
38 3 2
39 3 2
40 3 2
41 3 2
42 3 1
43 3 1
44 3 1
45 3 5
46 3 5
47 3 5
48 3 5
49 3 5
50 3 5
51 3 5
52 3 1
53 3 1
54 3 1
55 3 7
56 3 7
57 3 7
58 3 7
59 3 7
60 3 7
61 3 1
62 3 1
63 3 7
64 3 7
65 3 7
66 3 7
67 3 7
68 3 7
69 3 1
70 3 6
71 3 6
72 3 6
73 3 6
74 3 1
75 3 1
76 3 1
77 3 1
78 3 1
79 3 1
80 3 1
81 3 1
